63583	68651
14227	59285
71948	88898
13449	9319
11279	29654
38712	76594
14274	53637
67721	8008
2907	58678
73854	78891
57626	59131
21967	77137
61804	73179
3946	6879
3836	87817
43973	87080
11188	71788
29954	7495
34488	41208
29724	35023
14715	9886
3919	51514
45340	88058
40436	40942
23723	87071
58021	78567
25791	67625
29744	56124
48059	78005
29156	85455
46276	71318
54747	77655
24746	5974
65933	75635
12579	76490
11344	34929
11334	86900
24338	24442
44100	48705
12417	26773
24442	34337
38631	69494
25481	32031
58733	76474
1234	53056
12579	64442
39113	67051
65302	83726
27869	62474
20378	84544
40966	66068
30226	78920
19411	30034
24809	58428
39140	43349
24635	27581
29747	7802
22460	51750
36334	60278
18198	5112
42052	5732
37280	48470
43228	56010
18291	30574
14222	39824
54738	67011
46339	611
41492	86359
35590	38870
14874	37569
10956	52615
16667	85197
56684	67624
16543	70781
21150	80110
1851	24623
10329	70943
19234	37551
17034	27060
76863	82744
56684	6182
31160	6506
59367	62514
37008	40835
19547	59456
20087	7369
39824	46240
24442	37531
41826	56684
45713	56124
12393	73582
61009	74224
52245	77047
21334	28917
11363	6429
26019	31756
40097	69814
3257	55798
53548	58021
1024	80879
3362	60622
4288	6277
26989	40652
17120	25791
37714	81600
41554	82913
19455	80110
43356	8114
30769	48121
77086	83303
43665	8219
33226	67947
73754	83734
50618	87597
13198	14229
10683	37722
36235	89039
53999	87696
10306	67051
37350	70942
55507	82800
21501	30856
14222	61519
44850	88409
1851	24442
18308	87960
26773	87739
29530	31002
21634	70823
26762	35490
29415	31002
22506	51342
12197	88593
21331	24442
67172	9344
27060	67266
34937	75238
2151	4422
71719	84581
26762	82744
10326	8168
55469	67348
31381	56837
47828	52615
76474	88898
58949	76580
23906	25730
32942	48908
29642	52977
24814	87817
33458	35744
16374	33923
29654	47704
28107	28118
68068	78567
52839	82080
49483	6777
52529	70965
24338	31284
30344	59508
66001	73171
85276	87071
21501	39852
21288	64714
36648	39852
34665	51872
36032	85552
36950	38649
15995	16253
76580	77122
37531	57647
22394	7770
66068	82949
12122	28286
13250	86625
33111	68388
83133	9935
18068	82481
14274	9681
40942	8168
37442	83269
49286	86027
26986	38297
28042	5394
17202	20087
11544	66700
20950	77477
13401	20992
32753	69071
21976	78410
3885	63583
29415	87315
11058	9385
34337	58021
27817	66500
77952	81020
36618	57719
49483	82095
332	5356
14431	77063
19236	62902
22664	88973
27869	54745
83675	87080
61009	74309
731	83769
48349	9320
40966	53056
13973	24322
12735	82289
2973	71122
58396	80619
1691	28271
56358	61100
49286	61100
16961	43454
65302	78441
11879	63568
66087	82253
52948	82211
48627	74955
4596	52192
44390	75127
48470	82702
27310	85373
53647	83508
13104	8007
20217	6852
38846	7913
32444	52484
61241	67877
39017	43487
39971	78480
6182	7913
40609	9215
14018	14718
41084	6206
23289	37241
52662	82754
15459	4000
23517	28563
50321	81902
13642	83490
15919	66219
59445	68715
35744	47781
61084	62435
37068	59681
52533	68022
7369	73854
12728	84544
37872	57260
50321	52245
16264	26907
34828	67121
72061	86290
19377	69866
253	31284
41532	73830
21787	53229
62793	9546
1920	21140
16190	66577
18976	62571
25421	69300
24442	53056
88290	9057
1024	4129
13313	30769
61907	67797
82095	82253
27060	80234
42853	72018
51514	80002
13313	70276
7630	83796
2932	50218
1851	33171
25007	56844
26986	67661
60345	61530
41843	70259
12726	67444
21331	70823
26563	31346
2088	8379
17284	5363
42050	87349
23158	26820
49811	85077
42454	56041
50767	6389
3362	61440
6429	9057
17831	37000
35782	35913
12252	46754
69794	82913
5363	82702
56972	77734
14431	75966
18922	71682
26989	85074
67713	72224
5790	88028
39175	43973
16879	68918
10707	38992
59229	69961
47582	80109
56131	62796
27060	52868
52887	88923
48121	53056
17284	67266
35190	6739
55108	78567
31053	4596
38385	44207
41773	76109
18378	84543
28561	38270
44391	81728
50583	69155
44237	54450
21103	71975
29696	34245
70201	72651
7369	7770
14989	27060
11542	40102
18905	73501
38651	53548
33171	78891
62262	62998
22850	67051
15932	41997
11542	61100
47829	49472
26499	84525
54319	70995
27311	65577
13198	33111
12579	29688
48420	49466
71788	77122
28541	81726
65269	84171
36617	66837
6182	70276
60968	67072
24680	35023
65387	73179
10840	74242
10306	41208
16113	6521
68229	82953
42386	42715
29478	68263
19420	87299
16320	33818
1403	181
41050	6737
50895	75663
30356	36652
28873	59041
36720	52662
3946	84825
51347	6739
49619	63005
37650	7369
14527	22394
22394	70823
39824	80234
23469	56407
43543	86220
15793	9253
1610	20269
20217	34942
11187	9381
64870	66024
42965	75568
44487	46274
68651	79240
611	75297
30906	8021
33111	65933
14990	63367
38957	8248
41210	50767
23222	77967
23715	35932
11346	62421
32021	74899
20087	24623
14018	86758
22918	5456
2007	57626
17051	28503
23906	59907
22846	84581
43583	84738
39959	68529
24756	53082
28761	31053
12164	17373
16822	37531
4725	6879
20087	71788
56493	616
36663	71959
33027	53637
21523	49029
19455	40845
7181	80002
41214	68178
55881	9286
19085	4023
58290	8168
52197	86483
40202	42604
24338	39824
13510	26499
16038	6879
10623	26462
60345	78567
37619	42715
30574	62571
55881	78857
25404	69403
48121	6521
59231	83140
31053	49335
71897	78408
10653	73754
51849	68651
11879	67625
71662	73099
37241	57536
47040	7913
35744	82211
7354	7938
56684	66087
49101	60860
24927	39852
10323	75126
12728	82095
33458	48121
34799	4926
27029	33123
19543	73590
34337	42548
47249	88436
34237	37714
59506	9905
75635	88028
24623	75845
45746	52706
30488	64299
30856	82095
22850	35262
42465	7256
22208	36648
46234	54976
14366	28787
29696	30954
52887	81145
17132	68651
12579	3555
53729	82534
21331	67266
50182	75565
36235	52611
25730	66224
19302	30952
22850	58949
21928	56041
32524	88918
32493	5873
59176	79196
44101	70771
29642	50181
65933	75845
6645	73527
59041	63568
48121	48470
29643	42127
44237	68015
39017	74557
14527	55094
55711	86483
49406	79708
61241	67624
31002	6777
69866	77655
15424	50253
15234	31940
13217	24811
1851	85264
5363	62499
17387	70259
53602	5533
24237	33027
23883	44879
30796	87694
30511	62466
3484	80990
25005	7181
11327	34403
52618	84171
35392	51351
21331	85264
13797	66001
67121	80100
16117	81033
22133	52762
1813	29012
27919	53426
39017	62474
